"X","mean","se","p","lower_0.99","upper_0.99","lower_0.95","upper_0.95","lower_0.9","upper_0.9","lower_0.99_q","lower_0.95_q","lower_0.9_q","upper_0.9_q","upper_0.95_q","upper_0.99_q","SiteName","group_name","group_num","study_num","Rhat","Rhat_upper_CI","parameter","grouping","Period","Study","Latitude","Longitude"
1,0.0776393782086312,0.0610286540968427,0.896222222222222,-0.06612969166902,0.231483761703716,-0.0404618088816715,0.19587945998314,-0.0250672734956721,0.174356011981989,-0.0682225785082679,-0.0379047328005496,-0.0209076790726068,0.179864111344268,0.199275913756477,0.230530215547753,"Anderson_etal_ 2006-Surf Bay-13-1:Anderson_etal_ 2006","Namaqua",15,1,1.00226407192971,1.00450340288086,"site_slope","Ecoregion","1900-2015","Anderson_etal_ 2006",-32.794894,17.739199
2,0.0343941819932312,0.0587256928474689,0.717333333333333,-0.113113294337858,0.188397343566259,-0.0757997383944796,0.153294977306039,-0.0605813960594105,0.131832909564038,-0.119514251428188,-0.0809654154860115,-0.0616193088302719,0.131354856578284,0.148474889201295,0.183275988014543,"Andrew_1991-2-13-3:Andrew_1991","Manning-Hawkesbury",14,2,1.00448443954685,1.01691878908621,"site_slope","Ecoregion","1900-2015","Andrew_1991",-33.990112,151.230081
3,-0.00461950168494682,0.0619446509908559,0.470888888888889,-0.162972448806284,0.157182350357915,-0.122494395948312,0.116881824202289,-0.104683741624835,0.0966758217497094,-0.162937009511166,-0.123684173523874,-0.104706657566104,0.0965586342093297,0.116708976091499,0.156774635471811,"Andrew_1991-3-13-4:Andrew_1991","Manning-Hawkesbury",14,2,1.00197285677134,1.00800931978356,"site_slope","Ecoregion","1900-2015","Andrew_1991",-33.990766,151.233817
4,0.0121882726839827,0.0594621054132271,0.584,-0.129775886748712,0.169548341239864,-0.102960430226554,0.127683040877956,-0.0883413647368762,0.106923861971757,-0.137906576355846,-0.100052912356095,-0.0850745682849198,0.112104162425717,0.13154231002342,0.164546252230335,"Andrew_1991-4-13-5:Andrew_1991","Manning-Hawkesbury",14,2,1.00051244267357,1.00361182013461,"site_slope","Ecoregion","1900-2015","Andrew_1991",-33.994116,151.236572
5,-0.0044365778744403,0.0611647678176304,0.463555555555556,-0.150264167019842,0.165390224023124,-0.122902827764226,0.116288837015469,-0.107295357409896,0.0924270459705869,-0.163157393668223,-0.124298327780717,-0.104199009030876,0.0967491397788014,0.115555281048494,0.156653021014788,"Andrew_1991-5-13-6:Andrew_1991","Manning-Hawkesbury",14,2,1.00192939318038,1.00596474704738,"site_slope","Ecoregion","1900-2015","Andrew_1991",-33.997126,151.236872
6,-0.00183920422661248,0.0617577729281675,0.481111111111111,-0.160470617205376,0.15935371301671,-0.118220697866691,0.123382330357304,-0.108908105097563,0.0931219102236577,-0.161200292072229,-0.11828681660236,-0.103322095923057,0.101018159125295,0.123310999453442,0.15912443465222,"Andrew_1991-6-13-7:Andrew_1991","Manning-Hawkesbury",14,2,1.00138920157759,1.00602393777167,"site_slope","Ecoregion","1900-2015","Andrew_1991",-33.999562,151.238732
7,-0.0612931932924214,0.0597730868025947,0.152222222222222,-0.215378714426082,0.100166960255962,-0.180337205914152,0.0529091700363928,-0.155669906474949,0.0393704480973701,-0.21808032998527,-0.17681634882625,-0.15795550444818,0.0374693957227078,0.0564900853174705,0.0984730877892803,"Andrew_Jones_1990-Sydney_2-13-8:Andrew_Jones_1990","Manning-Hawkesbury",14,3,1.00232411685467,1.01007879016082,"site_slope","Ecoregion","1900-2015","Andrew_Jones_1990",-34.01018,151.23199
8,-0.0106195513037868,0.034522739517781,0.384222222222222,-0.103300328762872,0.0706258686351268,-0.0782742527358645,0.0544661597955273,-0.072876573688518,0.0408997480554058,-0.0988888257849026,-0.0764855735403544,-0.069567531749756,0.0458830411224029,0.056479348902444,0.0768385666936458,"Aus_Marmion-Marmion-13-9:Aus_Marmion","Houtman",11,4,1.00209694463118,1.005673236984,"site_slope","Ecoregion","1900-2015","Aus_Marmion",-31.833333,115.7
9,0.0220885395128809,0.0506012397916472,0.668888888888889,-0.1083855582223,0.14668993881264,-0.0788695204375131,0.115257570644294,-0.0667791520495474,0.098150925502453,-0.106995725606401,-0.0751304008936712,-0.0620731202515013,0.103917231835819,0.119689537537086,0.149795147030036,"Aus_Marmion-Marmion Lagoon_ Western Australia-13-10:Aus_Marmion","Houtman",11,4,1.00023186339885,1.00174093019738,"site_slope","Ecoregion","1900-2015","Aus_Marmion",-31.833333,115.7
10,-0.000503519544074218,0.03836169381158,0.496666666666667,-0.0965194845918328,0.106714069679025,-0.0782655770479527,0.0718865031564832,-0.0619270400427162,0.0607831287808908,-0.0998956963142446,-0.0754744223913409,-0.0613682331434903,0.0617096151611441,0.0761630213026616,0.103292335471959,"Australia_WA_Wernberg-SH3-18-1:Australia_WA_Wernberg","Leeuwin",13,5,1.00163135161382,1.00582608274969,"site_slope","Ecoregion","1900-2015","Australia_WA_Wernberg",-34.13873,115.00818
