"ECOREGION","DateName","tempC","Year"
"Agulhas Bank","1950.01.16",21.1379592113006,1950
"Aleutian Islands","1950.01.16",3.90940366451095,1950
"Bassian","1950.01.16",14.3094111610861,1950
"Beaufort Sea - continental coast and shelf","1950.01.16",-1.79999995231628,1950
"Cape Howe","1950.01.16",18.4553629776527,1950
"Celtic Seas","1950.01.16",10.3992481231689,1950
"Central Chile","1950.01.16",18.6141155362129,1950
"East Greenland Shelf","1950.01.16",1.07758560571177,1950
"Gulf of Alaska","1950.01.16",4.36139528160421,1950
"Gulf of Maine/Bay of Fundy","1950.01.16",8.0621659859367,1950
"Gulf of St. Lawrence - Eastern Scotian Shelf","1950.01.16",1.9924556681743,1950
"Houtman","1950.01.16",22.1647525363498,1950
"Humboldtian","1950.01.16",21.7774024163523,1950
"Leeuwin","1950.01.16",19.0455666321975,1950
"Manning-Hawkesbury","1950.01.16",23.2503846168518,1950
"Namaqua","1950.01.16",19.9695445923578,1950
"North American Pacific Fijordland","1950.01.16",6.33161312983586,1950
"North Sea","1950.01.16",7.00459308507013,1950
"Northeastern Honshu","1950.01.16",11.8246379815615,1950
"Northeastern New Zealand","1950.01.16",20.7276552045667,1950
"Northern California","1950.01.16",12.5105389681729,1950
"Northern Grand Banks - Southern Labrador","1950.01.16",0.697668339107551,1950
"Oregon, Washington, Vancouver Coast and Shelf","1950.01.16",8.8352538264075,1950
"Scotian Shelf","1950.01.16",7.26944545337132,1950
"Sea of Japan/East Sea","1950.01.16",6.49289078479228,1950
"South Australian Gulfs","1950.01.16",18.3383475216952,1950
"South European Atlantic Shelf","1950.01.16",13.9144238864674,1950
"Southern California Bight","1950.01.16",15.1414016274845,1950
"Southern Norway","1950.01.16",7.71263717568439,1950
"Virginian","1950.01.16",12.3550904347346,1950
"Western Bassian","1950.01.16",16.3254701826308,1950
"Agulhas Bank","1950.02.15",21.2239717825865,1950
"Aleutian Islands","1950.02.15",3.38511037376692,1950
"Bassian","1950.02.15",14.5352371253219,1950
"Beaufort Sea - continental coast and shelf","1950.02.15",-1.79999995231628,1950
